Model,Accuracy,Precision,Recall,F1_Macro,F1_Weighted,MCC,ROC_AUC
LightGBM,0.8751345532831001,0.8751422307472949,0.8449335832825521,0.8490103738800112,0.8711944612619514,0.858622677879172,0.9766352940606678
XGBoost,0.8708288482238966,0.8637176247512738,0.8399763135021909,0.842912026671992,0.8667274543778721,0.853865242057834,0.9757974523097795
CatBoost,0.8654467168998924,0.8650500501572149,0.8313974430365282,0.8343631284122233,0.8601269472577568,0.8480198640108714,0.9689852768645478
Random Forest,0.860064585575888,0.8743845829686118,0.823889116620925,0.8277244587556406,0.8559498196943182,0.8426544077499721,0.9606506670490682
SVM,0.8385360602798708,0.8740207653054741,0.8015343023006141,0.807897549705681,0.8380299856057379,0.8207835966838994,0.9726912132402296
Logistic Regression,0.8245425188374597,0.8410530945566604,0.7913689771235184,0.7981802268330915,0.8241449426267156,0.8027062937222637,0.9446476734805708
Extra Trees,0.8310010764262648,0.8548711099738738,0.7948245889555049,0.793333972477102,0.8252579972835135,0.8111344736090665,0.9575543489181594
MLP,0.7976318622174381,0.8126481181745031,0.772406791643642,0.7755299986878775,0.7977359284327158,0.7724830269019397,0.9339581521944028
ESM2-8M-HeadFT,0.4510226049515608,0.5604890321570483,0.4115083822543153,0.3747115750842258,0.4022796172502897,0.3830574389724782,0.8087728841238341
